id,薬価コード,成分名,商品名,薬効分類コード,成分グループ,剤形コード,規格番号,銘柄番号,check_digit,規格,先発後発区分,削除フラグ
44,1124003F3083,ニトラゼパム,ネルボン錠１０ｍｇ,1124,3,F,3,8,3,１０ｍｇ１錠,先発,False
45,1124003F3121,ニトラゼパム,ベンザリン錠１０,1124,3,F,3,12,1,１０ｍｇ１錠,先発,False
46,1124005C1032,ハロキサゾラム,ソメリン細粒１％,1124,5,C,1,3,2,１％１ｇ,先発,False
47,1124005F1020,ハロキサゾラム,ソメリン錠５ｍｇ,1124,5,F,1,2,0,５ｍｇ１錠,先発,False
48,1124005F2027,ハロキサゾラム,ソメリン錠１０ｍｇ,1124,5,F,2,2,7,１０ｍｇ１錠,先発,False
49,1124007F1011,トリアゾラム,トリアゾラム０．１２５ｍｇ錠,1124,7,F,1,1,1,０．１２５ｍｇ１錠,後発,False
50,1124007F1020,トリアゾラム,ハルシオン０．１２５ｍｇ錠,1124,7,F,1,2,0,０．１２５ｍｇ１錠,先発,False
51,1124007F2018,トリアゾラム,トリアゾラム０．２５ｍｇ錠,1124,7,F,2,1,8,０．２５ｍｇ１錠,後発,False
52,1124007F2026,トリアゾラム,ハルシオン０．２５ｍｇ錠,1124,7,F,2,2,6,０．２５ｍｇ１錠,先発,False
53,1124008F1016,フルニトラゼパム,フルニトラゼパム１ｍｇ錠,1124,8,F,1,1,6,１ｍｇ１錠,後発,False
54,1124008F1024,フルニトラゼパム,サイレース錠１ｍｇ,1124,8,F,1,2,4,１ｍｇ１錠,先発,False
55,1124008F2012,フルニトラゼパム,フルニトラゼパム２ｍｇ錠,1124,8,F,2,1,2,２ｍｇ１錠,後発,False
56,1124008F2020,フルニトラゼパム,サイレース錠２ｍｇ,1124,8,F,2,2,0,２ｍｇ１錠,先発,False
57,1124009F1010,ブロチゾラム,ブロチゾラム０．２５ｍｇ錠,1124,9,F,1,1,0,０．２５ｍｇ１錠,後発,False
58,1124009F1223,ブロチゾラム,レンドルミン錠０．２５ｍｇ,1124,9,F,1,22,3,０．２５ｍｇ１錠,先発,False
59,1124009F2017,ブロチゾラム,ブロチゾラム０．２５ｍｇ口腔内崩壊錠,1124,9,F,2,1,7,０．２５ｍｇ１錠,後発,False
60,1124009F2025,ブロチゾラム,レンドルミンＤ錠０．２５ｍｇ,1124,9,F,2,2,5,０．２５ｍｇ１錠,先発,False
61,1124010F1021,ロルメタゼパム,エバミール錠１．０,1124,10,F,1,2,1,１ｍｇ１錠,先発,False
62,1124010F1030,ロルメタゼパム,ロラメット錠１．０,1124,10,F,1,3,0,１ｍｇ１錠,先発,False
63,1124013B1031,オキサゾラム,セレナール散１０％,1124,13,B,1,3,1,１０％１ｇ,先発,False
64,1124013F1033,オキサゾラム,セレナール錠５,1124,13,F,1,3,3,５ｍｇ１錠,先発,False
65,1124013F2064,オキサゾラム,セレナール錠１０,1124,13,F,2,6,4,１０ｍｇ１錠,先発,False
66,1124014B1036,クロキサゾラム,セパゾン散１％,1124,14,B,1,3,6,１％１ｇ,先発,False
67,1124014F1038,クロキサゾラム,セパゾン錠１,1124,14,F,1,3,8,１ｍｇ１錠,先発,False
68,1124014F2034,クロキサゾラム,セパゾン錠２,1124,14,F,2,3,4,２ｍｇ１錠,先発,False
69,1124015M2038,クロラゼプ酸二カリウム,メンドンカプセル７．５ｍｇ,1124,15,M,2,3,8,７．５ｍｇ１カプセル,先発,False
70,1124017B1129,ジアゼパム,セルシン散１％,1124,17,B,1,12,9,１％１ｇ,先発,False
71,1124017B1137,ジアゼパム,ジアゼパム散１％「アメル」,1124,17,B,1,13,7,１％１ｇ,後発,False
72,1124017B1145,ジアゼパム,ホリゾン散１％,1124,17,B,1,14,5,１％１ｇ,先発,False
73,1124017F2011,ジアゼパム,ジアゼパム２ｍｇ錠,1124,17,F,2,1,1,２ｍｇ１錠,後発,False
74,1124017F2135,ジアゼパム,２ｍｇセルシン錠,1124,17,F,2,13,5,２ｍｇ１錠,先発,False
75,1124017F2151,ジアゼパム,ホリゾン錠２ｍｇ,1124,17,F,2,15,1,２ｍｇ１錠,先発,False
76,1124017F4014,ジアゼパム,ジアゼパム５ｍｇ錠,1124,17,F,4,1,4,５ｍｇ１錠,後発,False
77,1124017F4049,ジアゼパム,５ｍｇセルシン錠,1124,17,F,4,4,9,５ｍｇ１錠,先発,False
78,1124017F4162,ジアゼパム,ホリゾン錠５ｍｇ,1124,17,F,4,16,2,５ｍｇ１錠,先発,False
79,1124017F5037,ジアゼパム,１０ｍｇセルシン錠,1124,17,F,5,3,7,１０ｍｇ１錠,先発,False
80,1124017F5096,ジアゼパム,ジアゼパム錠１０ｍｇ「ツルハラ」,1124,17,F,5,9,6,１０ｍｇ１錠,後発,False
81,1124017Q1032,ジアゼパム,セルシンシロップ０．１％,1124,17,Q,1,3,2,０．１％１ｍＬ,その他,False
82,1124020C1045,ブロマゼパム,レキソタン細粒１％,1124,20,C,1,4,5,１％１ｇ,先発,False
83,1124020C1061,ブロマゼパム,ブロマゼパム細粒１％「サンド」,1124,20,C,1,6,1,１％１ｇ,後発,False
84,1124020F1025,ブロマゼパム,レキソタン錠１,1124,20,F,1,2,5,１ｍｇ１錠,先発,False
85,1124020F1041,ブロマゼパム,ブロマゼパム錠１ｍｇ「サンド」,1124,20,F,1,4,1,１ｍｇ１錠,後発,False
86,1124020F2030,ブロマゼパム,レキソタン錠２,1124,20,F,2,3,0,２ｍｇ１錠,先発,False
87,1124020F2056,ブロマゼパム,ブロマゼパム錠２ｍｇ「サンド」,1124,20,F,2,5,6,２ｍｇ１錠,後発,False
88,1124020F3044,ブロマゼパム,ブロマゼパム錠３ｍｇ「サンド」,1124,20,F,3,4,4,３ｍｇ１錠,後発,False
89,1124020F4016,ブロマゼパム,ブロマゼパム５ｍｇ錠,1124,20,F,4,1,6,５ｍｇ１錠,後発,False
90,1124020F4032,ブロマゼパム,レキソタン錠５,1124,20,F,4,3,2,５ｍｇ１錠,先発,False
91,1124021F1046,メダゼパム,メダゼパム錠２（ツルハラ）,1124,21,F,1,4,6,２ｍｇ１錠,後発,False
92,1124021F1054,メダゼパム,レスミット錠２,1124,21,F,1,5,4,２ｍｇ１錠,先発,False
93,1124021F2123,メダゼパム,メダゼパム錠５（ツルハラ）,1124,21,F,2,12,3,５ｍｇ１錠,後発,False
94,1124021F2166,メダゼパム,レスミット錠５,1124,21,F,2,16,6,５ｍｇ１錠,先発,False
95,1124022F1067,ロラゼパム,ワイパックス錠０．５,1124,22,F,1,6,7,０．５ｍｇ１錠,先発,False
96,1124022F1083,ロラゼパム,ロラゼパム錠０．５ｍｇ「サワイ」,1124,22,F,1,8,3,０．５ｍｇ１錠,後発,False
97,1124022F2012,ロラゼパム,ロラゼパム１ｍｇ錠,1124,22,F,2,1,2,１ｍｇ１錠,後発,False
98,1124022F2071,ロラゼパム,ワイパックス錠１．０,1124,22,F,2,7,1,１ｍｇ１錠,先発,False
99,1124023F1010,アルプラゾラム,アルプラゾラム０．４ｍｇ錠,1124,23,F,1,1,0,０．４ｍｇ１錠,後発,False
100,1124023F1029,アルプラゾラム,コンスタン０．４ｍｇ錠,1124,23,F,1,2,9,０．４ｍｇ１錠,先発,False
101,1124023F1037,アルプラゾラム,ソラナックス０．４ｍｇ錠,1124,23,F,1,3,7,０．４ｍｇ１錠,先発,False
102,1124023F2017,アルプラゾラム,アルプラゾラム０．８ｍｇ錠,1124,23,F,2,1,7,０．８ｍｇ１錠,後発,False
103,1124023F2025,アルプラゾラム,コンスタン０．８ｍｇ錠,1124,23,F,2,2,5,０．８ｍｇ１錠,先発,False
104,1124023F2033,アルプラゾラム,ソラナックス０．８ｍｇ錠,1124,23,F,2,3,3,０．８ｍｇ１錠,先発,False
