id,変換前(商品名/誤字),変換後(成分名)
2320,イルベサルタン１００ｍｇ錠,イルベサルタン
2321,アバプロ錠１００ｍｇ,イルベサルタン
2322,イルベタン錠１００ｍｇ,イルベサルタン
2323,イルベサルタン錠１００ｍｇ「ＤＳＰＢ」,イルベサルタン
2324,イルベサルタン錠１００ｍｇ「オーハラ」,イルベサルタン
2325,イルベサルタン錠１００ｍｇ「ケミファ」,イルベサルタン
2326,イルベサルタン錠１００ｍｇ「サワイ」,イルベサルタン
2327,イルベサルタン錠１００ｍｇ「トーワ」,イルベサルタン
2328,イルベサルタン錠１００ｍｇ「ＪＧ」,イルベサルタン
2329,イルベサルタン錠１００ｍｇ「ＫＭＰ」,イルベサルタン
2330,イルベサルタン２００ｍｇ錠,イルベサルタン
2331,アバプロ錠２００ｍｇ,イルベサルタン
2332,イルベタン錠２００ｍｇ,イルベサルタン
2333,イルベサルタン錠２００ｍｇ「ＤＳＰＢ」,イルベサルタン
2334,イルベサルタン錠２００ｍｇ「ケミファ」,イルベサルタン
2335,イルベサルタン錠２００ｍｇ「サワイ」,イルベサルタン
2336,イルベサルタン錠２００ｍｇ「トーワ」,イルベサルタン
2337,イルベサルタン錠２００ｍｇ「ＪＧ」,イルベサルタン
2338,イルベサルタン錠２００ｍｇ「ＫＭＰ」,イルベサルタン
2339,イルベサルタン５０ｍｇ口腔内崩壊錠,イルベサルタン
2340,イルベサルタンＯＤ錠５０ｍｇ「ＪＧ」,イルベサルタン
2341,イルベサルタンＯＤ錠１００ｍｇ「トーワ」,イルベサルタン
2342,イルベサルタンＯＤ錠１００ｍｇ「ＪＧ」,イルベサルタン
2343,イルベサルタンＯＤ錠１００ｍｇ「オーハラ」,イルベサルタン
2344,イルベサルタンＯＤ錠２００ｍｇ「トーワ」,イルベサルタン
2345,イルベサルタンＯＤ錠２００ｍｇ「ＪＧ」,イルベサルタン
2346,イルベサルタンＯＤ錠２００ｍｇ「オーハラ」,イルベサルタン
2347,ラジレス錠１５０ｍｇ,アリスキレンフマル酸塩
2348,アジルバ顆粒１％,アジルサルタン
2349,アジルバ錠２０ｍｇ,アジルサルタン
2350,アジルサルタン錠２０ｍｇ「ＪＧ」,アジルサルタン
2351,アジルサルタン錠２０ｍｇ「サワイ」,アジルサルタン
2352,アジルサルタン錠２０ｍｇ「サンド」,アジルサルタン
2353,アジルサルタン錠２０ｍｇ「武田テバ」,アジルサルタン
2354,アジルサルタン錠２０ｍｇ「トーワ」,アジルサルタン
2355,アジルサルタン錠２０ｍｇ「ニプロ」,アジルサルタン
2356,アジルサルタン錠２０ｍｇ「ＴＣＫ」,アジルサルタン
2357,アジルバ錠４０ｍｇ,アジルサルタン
2358,アジルサルタン錠４０ｍｇ「ＪＧ」,アジルサルタン
2359,アジルサルタン錠４０ｍｇ「サワイ」,アジルサルタン
2360,アジルサルタン錠４０ｍｇ「サンド」,アジルサルタン
2361,アジルサルタン錠４０ｍｇ「武田テバ」,アジルサルタン
2362,アジルサルタン錠４０ｍｇ「トーワ」,アジルサルタン
2363,アジルサルタン錠４０ｍｇ「ニプロ」,アジルサルタン
2364,アジルサルタン錠４０ｍｇ「ＴＣＫ」,アジルサルタン
2365,アジルバ錠１０ｍｇ,アジルサルタン
2366,アジルサルタン錠１０ｍｇ「ＪＧ」,アジルサルタン
2367,アジルサルタン錠１０ｍｇ「サワイ」,アジルサルタン
2368,アジルサルタン錠１０ｍｇ「サンド」,アジルサルタン
2369,アジルサルタン錠１０ｍｇ「武田テバ」,アジルサルタン
2370,アジルサルタン錠１０ｍｇ「トーワ」,アジルサルタン
2371,アジルサルタン錠１０ｍｇ「ニプロ」,アジルサルタン
2372,アジルサルタン錠１０ｍｇ「ＴＣＫ」,アジルサルタン
2373,アジルサルタンＯＤ錠１０ｍｇ「ＤＳＥＰ」,アジルサルタン
2374,アジルサルタンＯＤ錠１０ｍｇ「杏林」,アジルサルタン
2375,アジルサルタンＯＤ錠１０ｍｇ「ケミファ」,アジルサルタン
2376,アジルサルタンＯＤ錠１０ｍｇ「サワイ」,アジルサルタン
2377,アジルサルタンＯＤ錠１０ｍｇ「日新」,アジルサルタン
2378,アジルサルタンＯＤ錠１０ｍｇ「フェルゼン」,アジルサルタン
2379,アジルサルタンＯＤ錠１０ｍｇ「明治」,アジルサルタン
2380,アジルサルタンＯＤ錠２０ｍｇ「ＤＳＥＰ」,アジルサルタン
2381,アジルサルタンＯＤ錠２０ｍｇ「杏林」,アジルサルタン
2382,アジルサルタンＯＤ錠２０ｍｇ「ケミファ」,アジルサルタン
2383,アジルサルタンＯＤ錠２０ｍｇ「サワイ」,アジルサルタン
2384,アジルサルタンＯＤ錠２０ｍｇ「日新」,アジルサルタン
2385,アジルサルタンＯＤ錠２０ｍｇ「フェルゼン」,アジルサルタン
2386,アジルサルタンＯＤ錠２０ｍｇ「明治」,アジルサルタン
2387,アジルサルタンＯＤ錠４０ｍｇ「ＤＳＥＰ」,アジルサルタン
2388,アジルサルタンＯＤ錠４０ｍｇ「杏林」,アジルサルタン
2389,アジルサルタンＯＤ錠４０ｍｇ「ケミファ」,アジルサルタン
2390,アジルサルタンＯＤ錠４０ｍｇ「サワイ」,アジルサルタン
2391,アジルサルタンＯＤ錠４０ｍｇ「日新」,アジルサルタン
2392,アジルサルタンＯＤ錠４０ｍｇ「フェルゼン」,アジルサルタン
2393,アジルサルタンＯＤ錠４０ｍｇ「明治」,アジルサルタン
2394,ミネブロ錠１．２５ｍｇ,エサキセレノン
2395,ミネブロ錠２．５ｍｇ,エサキセレノン
2396,ミネブロ錠５ｍｇ,エサキセレノン
2397,ミネブロＯＤ錠１．２５ｍｇ,エサキセレノン
2398,ミネブロＯＤ錠２．５ｍｇ,エサキセレノン
2399,ミネブロＯＤ錠５ｍｇ,エサキセレノン
2400,プレミネント配合錠ＬＤ,ロサルタンカリウム・ヒドロクロロチアジド
2401,ロサルヒド配合錠ＬＤ「ＥＰ」,ロサルタンカリウム・ヒドロクロロチアジド
2402,ロサルヒド配合錠ＬＤ「ＦＦＰ」,ロサルタンカリウム・ヒドロクロロチアジド
2403,ロサルヒド配合錠ＬＤ「ＪＧ」,ロサルタンカリウム・ヒドロクロロチアジド
2404,ロサルヒド配合錠ＬＤ「ＴＣＫ」,ロサルタンカリウム・ヒドロクロロチアジド
2405,ロサルヒド配合錠ＬＤ「ＹＤ」,ロサルタンカリウム・ヒドロクロロチアジド
2406,ロサルヒド配合錠ＬＤ「アメル」,ロサルタンカリウム・ヒドロクロロチアジド
2407,ロサルヒド配合錠ＬＤ「科研」,ロサルタンカリウム・ヒドロクロロチアジド
2408,ロサルヒド配合錠ＬＤ「杏林」,ロサルタンカリウム・ヒドロクロロチアジド
2409,ロサルヒド配合錠ＬＤ「ケミファ」,ロサルタンカリウム・ヒドロクロロチアジド
2410,ロサルヒド配合錠ＬＤ「サワイ」,ロサルタンカリウム・ヒドロクロロチアジド
2411,ロサルヒド配合錠ＬＤ「サンド」,ロサルタンカリウム・ヒドロクロロチアジド
2412,ロサルヒド配合錠ＬＤ「三和」,ロサルタンカリウム・ヒドロクロロチアジド
2413,ロサルヒド配合錠ＬＤ「ツルハラ」,ロサルタンカリウム・ヒドロクロロチアジド
2414,ロサルヒド配合錠ＬＤ「トーワ」,ロサルタンカリウム・ヒドロクロロチアジド
2415,ロサルヒド配合錠ＬＤ「日医工」,ロサルタンカリウム・ヒドロクロロチアジド
2416,ロサルヒド配合錠ＬＤ「日新」,ロサルタンカリウム・ヒドロクロロチアジド
2417,ロサルヒド配合錠ＬＤ「ニプロ」,ロサルタンカリウム・ヒドロクロロチアジド
2418,ロサルヒド配合錠ＬＤ「モチダ」,ロサルタンカリウム・ヒドロクロロチアジド
2419,ロサルヒド配合錠ＬＤ「ＮＰＩ」,ロサルタンカリウム・ヒドロクロロチアジド
2420,ロサルヒド配合錠ＬＤ「ＶＴＲＳ」,ロサルタンカリウム・ヒドロクロロチアジド
2421,ロサルヒド配合錠ＬＤ「ＮＩＧ」,ロサルタンカリウム・ヒドロクロロチアジド
2422,ロサルタンカリウム・ヒドロクロロチアジドＨＤ錠,ロサルタンカリウム・ヒドロクロロチアジド
2423,プレミネント配合錠ＨＤ,ロサルタンカリウム・ヒドロクロロチアジド
2424,ロサルヒド配合錠ＨＤ「三和」,ロサルタンカリウム・ヒドロクロロチアジド
2425,ロサルヒド配合錠ＨＤ「ＥＰ」,ロサルタンカリウム・ヒドロクロロチアジド
2426,ロサルヒド配合錠ＨＤ「ＦＦＰ」,ロサルタンカリウム・ヒドロクロロチアジド
2427,ロサルヒド配合錠ＨＤ「ＴＣＫ」,ロサルタンカリウム・ヒドロクロロチアジド
2428,ロサルヒド配合錠ＨＤ「アメル」,ロサルタンカリウム・ヒドロクロロチアジド
2429,ロサルヒド配合錠ＨＤ「科研」,ロサルタンカリウム・ヒドロクロロチアジド
2430,ロサルヒド配合錠ＨＤ「ケミファ」,ロサルタンカリウム・ヒドロクロロチアジド
2431,ロサルヒド配合錠ＨＤ「トーワ」,ロサルタンカリウム・ヒドロクロロチアジド
2432,ロサルヒド配合錠ＨＤ「日医工」,ロサルタンカリウム・ヒドロクロロチアジド
2433,ロサルヒド配合錠ＨＤ「日新」,ロサルタンカリウム・ヒドロクロロチアジド
2434,ロサルヒド配合錠ＨＤ「モチダ」,ロサルタンカリウム・ヒドロクロロチアジド
2435,ロサルヒド配合錠ＨＤ「サワイ」,ロサルタンカリウム・ヒドロクロロチアジド
2436,ロサルヒド配合錠ＨＤ「ＮＰＩ」,ロサルタンカリウム・ヒドロクロロチアジド
2437,ロサルヒド配合錠ＨＤ「ＶＴＲＳ」,ロサルタンカリウム・ヒドロクロロチアジド
2438,ロサルヒド配合錠ＨＤ「ＮＩＧ」,ロサルタンカリウム・ヒドロクロロチアジド
2439,エカード配合錠ＬＤ,カンデサルタンシレキセチル・ヒドロクロロチアジド
2440,カデチア配合錠ＬＤ「あすか」,カンデサルタンシレキセチル・ヒドロクロロチアジド
2441,カデチア配合錠ＬＤ「テバ」,カンデサルタンシレキセチル・ヒドロクロロチアジド
2442,エカード配合錠ＨＤ,カンデサルタンシレキセチル・ヒドロクロロチアジド
2443,カデチア配合錠ＨＤ「あすか」,カンデサルタンシレキセチル・ヒドロクロロチアジド
2444,カデチア配合錠ＨＤ「テバ」,カンデサルタンシレキセチル・ヒドロクロロチアジド
2445,コディオ配合錠ＭＤ,バルサルタン・ヒドロクロロチアジド
2446,バルヒディオ配合錠ＭＤ「サンド」,バルサルタン・ヒドロクロロチアジド
2447,バルヒディオ配合錠ＭＤ「ＪＧ」,バルサルタン・ヒドロクロロチアジド
2448,バルヒディオ配合錠ＭＤ「ＴＣＫ」,バルサルタン・ヒドロクロロチアジド
2449,バルヒディオ配合錠ＭＤ「サワイ」,バルサルタン・ヒドロクロロチアジド
2450,バルヒディオ配合錠ＭＤ「ツルハラ」,バルサルタン・ヒドロクロロチアジド
2451,バルヒディオ配合錠ＭＤ「トーワ」,バルサルタン・ヒドロクロロチアジド
2452,バルヒディオ配合錠ＭＤ「ＮＩＧ」,バルサルタン・ヒドロクロロチアジド
2453,コディオ配合錠ＥＸ,バルサルタン・ヒドロクロロチアジド
2454,バルヒディオ配合錠ＥＸ「サンド」,バルサルタン・ヒドロクロロチアジド
2455,バルヒディオ配合錠ＥＸ「ＪＧ」,バルサルタン・ヒドロクロロチアジド
2456,バルヒディオ配合錠ＥＸ「ＴＣＫ」,バルサルタン・ヒドロクロロチアジド
2457,バルヒディオ配合錠ＥＸ「サワイ」,バルサルタン・ヒドロクロロチアジド
2458,バルヒディオ配合錠ＥＸ「ツルハラ」,バルサルタン・ヒドロクロロチアジド
2459,バルヒディオ配合錠ＥＸ「トーワ」,バルサルタン・ヒドロクロロチアジド
2460,バルヒディオ配合錠ＥＸ「ＮＩＧ」,バルサルタン・ヒドロクロロチアジド
2461,テルミサルタン・ヒドロクロロチアジドＡＰ錠,テルミサルタン・ヒドロクロロチアジド
2462,ミコンビ配合錠ＡＰ,テルミサルタン・ヒドロクロロチアジド
2463,テルチア配合錠ＡＰ「ＤＳＥＰ」,テルミサルタン・ヒドロクロロチアジド
2464,テルチア配合錠ＡＰ「サワイ」,テルミサルタン・ヒドロクロロチアジド
2465,テルチア配合錠ＡＰ「トーワ」,テルミサルタン・ヒドロクロロチアジド
2466,テルチア配合錠ＡＰ「ＮＩＧ」,テルミサルタン・ヒドロクロロチアジド
2467,テルミサルタン・ヒドロクロロチアジドＢＰ錠,テルミサルタン・ヒドロクロロチアジド
2468,ミコンビ配合錠ＢＰ,テルミサルタン・ヒドロクロロチアジド
2469,テルチア配合錠ＢＰ「ＤＳＥＰ」,テルミサルタン・ヒドロクロロチアジド
2470,テルチア配合錠ＢＰ「サワイ」,テルミサルタン・ヒドロクロロチアジド
2471,テルチア配合錠ＢＰ「トーワ」,テルミサルタン・ヒドロクロロチアジド
2472,テルチア配合錠ＢＰ「ＮＩＧ」,テルミサルタン・ヒドロクロロチアジド
2473,エックスフォージ配合錠,バルサルタン・アムロジピンベシル酸塩
2474,アムバロ配合錠「ＤＳＥＰ」,バルサルタン・アムロジピンベシル酸塩
2475,アムバロ配合錠「ＦＦＰ」,バルサルタン・アムロジピンベシル酸塩
2476,アムバロ配合錠「ＪＧ」,バルサルタン・アムロジピンベシル酸塩
2477,アムバロ配合錠「ＴＣＫ」,バルサルタン・アムロジピンベシル酸塩
2478,アムバロ配合錠「ＹＤ」,バルサルタン・アムロジピンベシル酸塩
2479,アムバロ配合錠「アメル」,バルサルタン・アムロジピンベシル酸塩
2480,アムバロ配合錠「オーハラ」,バルサルタン・アムロジピンベシル酸塩
2481,アムバロ配合錠「杏林」,バルサルタン・アムロジピンベシル酸塩
2482,アムバロ配合錠「ケミファ」,バルサルタン・アムロジピンベシル酸塩
2483,アムバロ配合錠「サワイ」,バルサルタン・アムロジピンベシル酸塩
2484,アムバロ配合錠「サンド」,バルサルタン・アムロジピンベシル酸塩
2485,アムバロ配合錠「トーワ」,バルサルタン・アムロジピンベシル酸塩
2486,アムバロ配合錠「日新」,バルサルタン・アムロジピンベシル酸塩
2487,アムバロ配合錠「ＮＩＧ」,バルサルタン・アムロジピンベシル酸塩
2488,エックスフォージ配合ＯＤ錠,バルサルタン・アムロジピンベシル酸塩
2489,アムバロ配合ＯＤ錠「日医工」,バルサルタン・アムロジピンベシル酸塩
2490,アムバロ配合ＯＤ錠「トーワ」,バルサルタン・アムロジピンベシル酸塩
2491,レザルタス配合錠ＬＤ,オルメサルタンメドキソミル・アゼルニジピン
2492,レザルタス配合錠ＨＤ,オルメサルタンメドキソミル・アゼルニジピン
2493,ユニシア配合錠ＬＤ,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2494,カムシア配合錠ＬＤ「あすか」,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2495,カムシア配合錠ＬＤ「サンド」,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2496,カムシア配合錠ＬＤ「ニプロ」,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2497,カムシア配合錠ＬＤ「武田テバ」,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2498,カムシア配合錠ＬＤ「日新」,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2499,カムシア配合錠ＬＤ「トーワ」,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2500,カムシア配合錠ＬＤ「ＮＩＧ」,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2501,ユニシア配合錠ＨＤ,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2502,カムシア配合錠ＨＤ「あすか」,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2503,カムシア配合錠ＨＤ「サンド」,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2504,カムシア配合錠ＨＤ「ニプロ」,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2505,カムシア配合錠ＨＤ「武田テバ」,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2506,カムシア配合錠ＨＤ「日新」,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2507,カムシア配合錠ＨＤ「トーワ」,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2508,カムシア配合錠ＨＤ「ＮＩＧ」,カンデサルタンシレキセチル・アムロジピンベシル酸塩
2509,テルミサルタン・アムロジピンベシル酸塩ＡＰ錠,テルミサルタン・アムロジピンベシル酸塩
2510,ミカムロ配合錠ＡＰ,テルミサルタン・アムロジピンベシル酸塩
2511,テラムロ配合錠ＡＰ「ＤＳＥＰ」,テルミサルタン・アムロジピンベシル酸塩
2512,テラムロ配合錠ＡＰ「ＥＥ」,テルミサルタン・アムロジピンベシル酸塩
2513,テラムロ配合錠ＡＰ「サワイ」,テルミサルタン・アムロジピンベシル酸塩
2514,テラムロ配合錠ＡＰ「トーワ」,テルミサルタン・アムロジピンベシル酸塩
2515,テラムロ配合錠ＡＰ「日医工」,テルミサルタン・アムロジピンベシル酸塩
2516,テラムロ配合錠ＡＰ「ＪＧ」,テルミサルタン・アムロジピンベシル酸塩
2517,テラムロ配合錠ＡＰ「ＮＩＧ」,テルミサルタン・アムロジピンベシル酸塩
2518,テルミサルタン・アムロジピンベシル酸塩ＢＰ錠,テルミサルタン・アムロジピンベシル酸塩
2519,ミカムロ配合錠ＢＰ,テルミサルタン・アムロジピンベシル酸塩
2520,テラムロ配合錠ＢＰ「ＤＳＥＰ」,テルミサルタン・アムロジピンベシル酸塩
2521,テラムロ配合錠ＢＰ「ＥＥ」,テルミサルタン・アムロジピンベシル酸塩
2522,テラムロ配合錠ＢＰ「サワイ」,テルミサルタン・アムロジピンベシル酸塩
2523,テラムロ配合錠ＢＰ「トーワ」,テルミサルタン・アムロジピンベシル酸塩
2524,テラムロ配合錠ＢＰ「日医工」,テルミサルタン・アムロジピンベシル酸塩
2525,テラムロ配合錠ＢＰ「ＪＧ」,テルミサルタン・アムロジピンベシル酸塩
2526,テラムロ配合錠ＢＰ「ＮＩＧ」,テルミサルタン・アムロジピンベシル酸塩
2527,イルベサルタン・アムロジピンベシル酸塩ＬＤ錠,イルベサルタン・アムロジピンベシル酸塩
2528,アイミクス配合錠ＬＤ,イルベサルタン・アムロジピンベシル酸塩
2529,イルアミクス配合錠ＬＤ「ＤＳＰＢ」,イルベサルタン・アムロジピンベシル酸塩
2530,イルアミクス配合錠ＬＤ「ＪＧ」,イルベサルタン・アムロジピンベシル酸塩
2531,イルアミクス配合錠ＬＤ「ＴＣＫ」,イルベサルタン・アムロジピンベシル酸塩
2532,イルアミクス配合錠ＬＤ「オーハラ」,イルベサルタン・アムロジピンベシル酸塩
2533,イルアミクス配合錠ＬＤ「ケミファ」,イルベサルタン・アムロジピンベシル酸塩
2534,イルアミクス配合錠ＬＤ「サワイ」,イルベサルタン・アムロジピンベシル酸塩
2535,イルアミクス配合錠ＬＤ「三和」,イルベサルタン・アムロジピンベシル酸塩
2536,イルアミクス配合錠ＬＤ「トーワ」,イルベサルタン・アムロジピンベシル酸塩
2537,イルアミクス配合錠ＬＤ「ＮＩＧ」,イルベサルタン・アムロジピンベシル酸塩
2538,イルアミクス配合錠ＬＤ「ダイト」,イルベサルタン・アムロジピンベシル酸塩
2539,イルベサルタン・アムロジピンベシル酸塩ＨＤ錠,イルベサルタン・アムロジピンベシル酸塩
2540,アイミクス配合錠ＨＤ,イルベサルタン・アムロジピンベシル酸塩
2541,イルアミクス配合錠ＨＤ「ＤＳＰＢ」,イルベサルタン・アムロジピンベシル酸塩
2542,イルアミクス配合錠ＨＤ「ＪＧ」,イルベサルタン・アムロジピンベシル酸塩
2543,イルアミクス配合錠ＨＤ「ＴＣＫ」,イルベサルタン・アムロジピンベシル酸塩
2544,イルアミクス配合錠ＨＤ「オーハラ」,イルベサルタン・アムロジピンベシル酸塩
2545,イルアミクス配合錠ＨＤ「ケミファ」,イルベサルタン・アムロジピンベシル酸塩
2546,イルアミクス配合錠ＨＤ「サワイ」,イルベサルタン・アムロジピンベシル酸塩
2547,イルアミクス配合錠ＨＤ「トーワ」,イルベサルタン・アムロジピンベシル酸塩
2548,イルアミクス配合錠ＨＤ「ＶＴＲＳ」,イルベサルタン・アムロジピンベシル酸塩
2549,イルアミクス配合錠ＨＤ「ＮＩＧ」,イルベサルタン・アムロジピンベシル酸塩
2550,イルトラ配合錠ＬＤ,イルベサルタン・トリクロルメチアジド
2551,イルトラ配合錠ＨＤ,イルベサルタン・トリクロルメチアジド
2552,アテディオ配合錠,バルサルタン・シルニジピン
2553,ザクラス配合錠ＬＤ,アジルサルタン・アムロジピンベシル酸塩
2554,ジルムロ配合錠ＬＤ「ＪＧ」,アジルサルタン・アムロジピンベシル酸塩
2555,ジルムロ配合錠ＬＤ「ＴＣＫ」,アジルサルタン・アムロジピンベシル酸塩
2556,ジルムロ配合錠ＬＤ「ＹＤ」,アジルサルタン・アムロジピンベシル酸塩
2557,ジルムロ配合錠ＬＤ「サワイ」,アジルサルタン・アムロジピンベシル酸塩
2558,ジルムロ配合錠ＬＤ「武田テバ」,アジルサルタン・アムロジピンベシル酸塩
2559,ジルムロ配合錠ＬＤ「ツルハラ」,アジルサルタン・アムロジピンベシル酸塩
2560,ジルムロ配合錠ＬＤ「トーワ」,アジルサルタン・アムロジピンベシル酸塩
2561,ジルムロ配合錠ＬＤ「ニプロ」,アジルサルタン・アムロジピンベシル酸塩
2562,ザクラス配合錠ＨＤ,アジルサルタン・アムロジピンベシル酸塩
2563,ジルムロ配合錠ＨＤ「ＪＧ」,アジルサルタン・アムロジピンベシル酸塩
2564,ジルムロ配合錠ＨＤ「ＴＣＫ」,アジルサルタン・アムロジピンベシル酸塩
2565,ジルムロ配合錠ＨＤ「ＹＤ」,アジルサルタン・アムロジピンベシル酸塩
2566,ジルムロ配合錠ＨＤ「サワイ」,アジルサルタン・アムロジピンベシル酸塩
2567,ジルムロ配合錠ＨＤ「武田テバ」,アジルサルタン・アムロジピンベシル酸塩
2568,ジルムロ配合錠ＨＤ「ツルハラ」,アジルサルタン・アムロジピンベシル酸塩
2569,ジルムロ配合錠ＨＤ「トーワ」,アジルサルタン・アムロジピンベシル酸塩
2570,ジルムロ配合錠ＨＤ「ニプロ」,アジルサルタン・アムロジピンベシル酸塩
2571,ジルムロ配合ＯＤ錠ＬＤ「サワイ」,アジルサルタン・アムロジピンベシル酸塩
2572,ジルムロ配合ＯＤ錠ＬＤ「トーワ」,アジルサルタン・アムロジピンベシル酸塩
2573,ジルムロ配合ＯＤ錠ＬＤ「日医工」,アジルサルタン・アムロジピンベシル酸塩
2574,ジルムロ配合ＯＤ錠ＨＤ「サワイ」,アジルサルタン・アムロジピンベシル酸塩
2575,ジルムロ配合ＯＤ錠ＨＤ「トーワ」,アジルサルタン・アムロジピンベシル酸塩
2576,ジルムロ配合ＯＤ錠ＨＤ「日医工」,アジルサルタン・アムロジピンベシル酸塩
2577,ミカトリオ配合錠,テルミサルタン・アムロジピンベシル酸塩・ヒドロクロロチアジド
2578,ミドドリン塩酸塩２ｍｇ錠,ミドドリン塩酸塩
2579,メトリジン錠２ｍｇ,ミドドリン塩酸塩
2580,ミドドリン塩酸塩錠２ｍｇ「ＪＧ」,ミドドリン塩酸塩
2581,ミドドリン塩酸塩錠２ｍｇ「オーハラ」,ミドドリン塩酸塩
2582,ミドドリン塩酸塩錠２ｍｇ「サワイ」,ミドドリン塩酸塩
2583,ミドドリン塩酸塩錠２ｍｇ「トーワ」,ミドドリン塩酸塩
2584,メトリジンＤ錠２ｍｇ,ミドドリン塩酸塩
2585,スマトリプタンコハク酸塩５０ｍｇ錠,スマトリプタンコハク酸塩
2586,イミグラン錠５０,スマトリプタンコハク酸塩
2587,スマトリプタン錠５０ｍｇ「ＪＧ」,スマトリプタンコハク酸塩
2588,スマトリプタン錠５０ｍｇ「ＴＣＫ」,スマトリプタンコハク酸塩
2589,スマトリプタン錠５０ｍｇ「ＹＤ」,スマトリプタンコハク酸塩
2590,スマトリプタン錠５０ｍｇ「アメル」,スマトリプタンコハク酸塩
2591,スマトリプタン錠５０ｍｇ「タカタ」,スマトリプタンコハク酸塩
2592,スマトリプタン錠５０ｍｇ「トーワ」,スマトリプタンコハク酸塩
2593,スマトリプタン錠５０ｍｇ「日医工」,スマトリプタンコハク酸塩
2594,スマトリプタン錠５０ｍｇ「ＳＰＫＫ」,スマトリプタンコハク酸塩
2595,スマトリプタン錠５０ｍｇ「ＴＷ」,スマトリプタンコハク酸塩
2596,スマトリプタン内用液５０ｍｇ「タカタ」,スマトリプタンコハク酸塩
2597,ゾーミッグ錠２．５ｍｇ,ゾルミトリプタン
2598,ゾルミトリプタン２．５ｍｇ口腔内崩壊錠,ゾルミトリプタン
2599,ゾーミッグＲＭ錠２．５ｍｇ,ゾルミトリプタン
2600,ゾルミトリプタンＯＤ錠２．５ｍｇ「ＪＧ」,ゾルミトリプタン
2601,ゾルミトリプタンＯＤ錠２．５ｍｇ「タカタ」,ゾルミトリプタン
2602,ゾルミトリプタンＯＤ錠２．５ｍｇ「トーワ」,ゾルミトリプタン
2603,ゾルミトリプタンＯＤ錠２．５ｍｇ「日医工」,ゾルミトリプタン
2604,ゾルミトリプタンＯＤ錠２．５ｍｇ「日新」,ゾルミトリプタン
2605,レルパックス錠２０ｍｇ,エレトリプタン臭化水素酸塩
2606,エレトリプタン錠２０ｍｇ「ＤＳＥＰ」,エレトリプタン臭化水素酸塩
2607,エレトリプタン錠２０ｍｇ「ＴＣＫ」,エレトリプタン臭化水素酸塩
2608,エレトリプタン錠２０ｍｇ「ＹＤ」,エレトリプタン臭化水素酸塩
2609,エレトリプタン錠２０ｍｇ「サンド」,エレトリプタン臭化水素酸塩
2610,エレトリプタン錠２０ｍｇ「トーワ」,エレトリプタン臭化水素酸塩
2611,エレトリプタン錠２０ｍｇ「日医工」,エレトリプタン臭化水素酸塩
2612,エレトリプタン錠２０ｍｇ「日新」,エレトリプタン臭化水素酸塩
2613,エレトリプタン錠２０ｍｇ「ファイザー」,エレトリプタン臭化水素酸塩
2614,エレトリプタン錠２０ｍｇ「ＶＴＲＳ」,エレトリプタン臭化水素酸塩
2615,エレトリプタンＯＤ錠２０ｍｇ「アメル」,エレトリプタン臭化水素酸塩
2616,マクサルト錠１０ｍｇ,リザトリプタン安息香酸塩
2617,リザトリプタン安息香酸塩１０ｍｇ口腔内崩壊錠,リザトリプタン安息香酸塩
2618,マクサルトＲＰＤ錠１０ｍｇ,リザトリプタン安息香酸塩
2619,リザトリプタンＯＤ錠１０ｍｇ「ＴＣＫ」,リザトリプタン安息香酸塩
2620,リザトリプタンＯＤ錠１０ｍｇ「トーワ」,リザトリプタン安息香酸塩
2621,アマージ錠２．５ｍｇ,ナラトリプタン塩酸塩
2622,ナラトリプタン錠２．５ｍｇ「ＫＯ」,ナラトリプタン塩酸塩
2623,ジラゼプ塩酸塩５０ｍｇ錠,ジラゼプ塩酸塩水和物
2624,コメリアンコーワ錠５０,ジラゼプ塩酸塩水和物
2625,ジラゼプ塩酸塩１００ｍｇ錠,ジラゼプ塩酸塩水和物
2626,コメリアンコーワ錠１００,ジラゼプ塩酸塩水和物
2627,ジルチアゼム塩酸塩３０ｍｇ錠,ジルチアゼム塩酸塩
2628,ヘルベッサー錠３０,ジルチアゼム塩酸塩
2629,ジルチアゼム塩酸塩６０ｍｇ錠,ジルチアゼム塩酸塩
2630,ヘルベッサー錠６０,ジルチアゼム塩酸塩
2631,ジルチアゼム塩酸塩錠６０ｍｇ「サワイ」,ジルチアゼム塩酸塩
2632,ジルチアゼム塩酸塩１００ｍｇ徐放カプセル,ジルチアゼム塩酸塩
2633,ヘルベッサーＲカプセル１００ｍｇ,ジルチアゼム塩酸塩
